진료년도,성별,입원외래구분,행위코드,환자수,명세서청구건수,의료행위총사용량,의료행위청구금액
2024,남,외래,G7404,390338,506940,601542,6813448426
2024,남,외래,G7405,134396,156593,179384,2273142820
2024,남,외래,G7501,99251,112472,152054,891640894
2024,남,외래,G7502,368777,457057,565134,4736430742
2024,남,외래,G7503,482478,628257,802249,7912590794
2024,남,외래,G7504,444808,605934,742562,8406078953
2024,남,외래,G7505,76607,82726,87154,1112164435
2024,남,외래,G7601,195799,231151,235477,1421187225
2024,남,외래,G7602,13336,14952,15257,132124800
2024,남,외래,G7603,120682,141196,145415,1472583150
2024,남,외래,G7604,19710,22277,22309,261406590
2024,남,외래,G7605,7901,9549,9569,109592780
2024,남,외래,G7701,318941,361756,470824,2776562106
2024,남,외래,G7702,60766,65958,69906,589075905
2024,남,외래,G7703,6731,7278,8983,87709920
2024,남,외래,G7704,4372,4692,6013,69987950
2024,남,외래,G7705,1497,1595,1651,21449220
2024,남,외래,G7801,7602,9504,12536,74874240
2024,남,외래,G7802,18279,22863,25846,220184533
2024,남,외래,G7803,12402,15801,19406,194573270
2024,남,외래,G7804,9911,12536,14631,169025680
2024,남,외래,G7805,496,524,531,6822550
2024,남,외래,G7901,32881,38161,48758,285033540
2024,남,외래,G7902,59035,77150,95446,794382868
2024,남,외래,G7903,5972,7382,8247,80460106
2024,남,외래,G7904,6764,7740,8344,93874920
2024,남,외래,G7905,1369,2513,2885,35554530
2024,남,외래,G8101,42534,56491,70954,423247386
2024,남,외래,G8102,284999,403319,478171,4020191404
2024,남,외래,G8103,103730,150241,176410,1740665489
2024,남,외래,G8104,288549,443375,519466,5883032568
2024,남,외래,G8105,13591,14980,15541,200991600
2024,남,외래,G8201,25739,35640,43608,259233850
2024,남,외래,G8202,90015,129942,154178,1297255601
2024,남,외래,G8203,49325,73586,89487,887983484
2024,남,외래,G8204,93701,151133,177690,2026218355
2024,남,외래,G8205,9825,10767,10946,141566430
2024,남,외래,G9101,4348279,8574228,12790197,57644495175
2024,남,외래,G9102,187580,232678,267946,1880980274
2024,남,외래,G9103,15251,16593,18499,187339244
2024,남,외래,G9104,2763,2903,3083,34634373
2024,남,외래,G9105,1214,1344,1422,18389500
2024,남,외래,G9501,199846,228572,415645,2209693710
2024,남,외래,G9502,11663,12315,18824,139770730
2024,남,외래,G9503,608,618,699,6808260
2024,남,외래,G9504,77,77,86,1042880
2024,남,외래,G9505,28,29,29,423690
2024,남,외래,G9601,988,1067,1264,7054580
2024,남,외래,G9701,7573713,9464598,9471304,135630000000
2024,남,외래,G9702,125829,150422,150819,2526944940
2024,남,외래,G9703,113349,128366,128788,1800068600
2024,남,외래,G9761,133037,142102,142176,2332339532
2024,남,외래,G9762,4477,4716,4716,96075020
2024,남,외래,G9763,3168,3217,3218,53972400
2024,남,외래,G9801,15068,15652,17500,197922835
2024,남,외래,G9901,1681,1692,1694,36679370
2024,남,외래,GB011,819434,1409152,1684905,2611595770
2024,남,외래,GB012,430874,619662,752948,1746834740
2024,남,외래,GB013,130924,173795,220285,682881950
2024,남,외래,GB014,100852,136009,164952,638364280
2024,남,외래,GB015,64896,76457,91134,423773100
2024,남,외래,GB021,1391968,2034081,2436901,2850716206
